threshold,precision,recall,f1
0.3953,0.7937,0.9324,0.8574
0.396,0.7952,0.9324,0.8584
0.3967,0.7968,0.9324,0.8593
0.3971,0.7984,0.9324,0.8602
0.3985,0.8,0.9324,0.8611
0.3991,0.8016,0.9324,0.8621
0.3992,0.8008,0.9277,0.8596
0.4009,0.8024,0.9277,0.8605
0.4015,0.804,0.9277,0.8615
0.402,0.8057,0.9277,0.8624
0.4021,0.8073,0.9277,0.8633
0.4023,0.8089,0.9277,0.8643
0.403,0.8082,0.9231,0.8618
0.4044,0.8098,0.9231,0.8627
0.4061,0.8115,0.9231,0.8637
0.4061,0.8131,0.9231,0.8646
0.4069,0.8148,0.9231,0.8656
0.4075,0.8165,0.9231,0.8665
0.4092,0.8182,0.9231,0.8675
0.4093,0.8199,0.9231,0.8684
0.4094,0.8216,0.9231,0.8694
0.4111,0.8233,0.9231,0.8703
0.4111,0.825,0.9231,0.8713
0.4135,0.8267,0.9231,0.8722
0.4142,0.8285,0.9231,0.8732
0.4159,0.8302,0.9231,0.8742
0.4162,0.8319,0.9231,0.8751
0.417,0.8337,0.9231,0.8761
0.4185,0.8333,0.9207,0.8749
0.4194,0.8351,0.9207,0.8758
0.4205,0.8369,0.9207,0.8768
0.4206,0.8386,0.9207,0.8778
0.4213,0.8383,0.9184,0.8765
0.4234,0.8401,0.9184,0.8775
0.4254,0.8419,0.9184,0.8785
0.4262,0.8415,0.9161,0.8772
0.4274,0.8433,0.9161,0.8782
0.4291,0.8452,0.9161,0.8792
0.4322,0.8448,0.9138,0.8779
0.4323,0.8467,0.9138,0.8789
0.4324,0.8463,0.9114,0.8777
0.435,0.8482,0.9114,0.8787
0.4351,0.8475,0.9068,0.8761
0.4359,0.8472,0.9044,0.8749
0.4378,0.849,0.9044,0.8758
0.4383,0.8487,0.9021,0.8746
0.4391,0.8484,0.8998,0.8733
0.4391,0.8502,0.8998,0.8743
0.4398,0.8521,0.8998,0.8753
